ID,Date,Time,Species,Conventional,Vem Tag Type,Vem Tag no.,Vem Tag Code,FL (cm),PCL (cm),Cohort,Area,Capture_Lat_Deg,Capture_Lat_min,Capture_Lon_Degrees,Capture_Lon_min,Stomach Everted?,Eyes Popped?,Bladder Vented?,Point of Incision,DNA Clip,Cannulation,Sex,Video?,Photo?,Photo Name,Audio Log File,Dropshot?,Tissue Sample,Gut sample,Tagger,Notes,Recaptured,Detections 20130713,Comments
20120720Ehu1,7/20/12,12:38,Ehu,,v13,1094078,37973,36,,2,Penguin Banks-2nd Finger,20,58.301,157,22.039,,N,Y,abdomen,35,-,-,,,,N,Y,N,N,KW,fish came off dropshot around 30 ft.  Did not float up but Gen hopped in and saw a shark.  Could have swam down.,,,
20120720Ehu2,7/20/12,13:37,Ehu,,v13,1094079,37974,33,,2,Penguin Banks-2nd Finger,20,58.486,157,21.485,,N,Y,abdomen,20,-,-,,,,N,Y,N,N,KW,,,,
20120720Opaka4,7/20/12,16:00,Opaka,,v13,1094080,37975,33,,2,Penguin Banks-2nd Finger,20,58.561,157,21.683,,N,Y,abdomen,29,-,-,,,"418, 419",N,Y,N,N,KW,,,,
20120720Ehu4,7/20/12,16:35,Ehu,,v13,1094081,37976,35,,2,Penguin Banks-2nd Finger,20,58.333,157,21.623,,N,Y,abdomen,F,-,-,,,,N,Y,N,N,KW,,,,
20120720Ehu5,7/20/12,17:00,Ehu,,v13,1094082,37977,29,,2,Penguin Banks-2nd Finger,20,58.226,157,21.573,,N,Y,abdomen,27,-,-,,,,N,Y,N,N,KW,,,,
20121103Opaka20,11/3/12,22:41,Paka,H10665,v13,1094083,37978,40,,6,Makapuu,21,16.836,157,34.482,,,Y,abdomen,N,-,-,,,,,Y,N,N,KW,,,,
20121103Opaka21,11/3/12,23:55,Paka,H10666,v13,1094084,37979,49,,6,Makapuu,21,16.12,157,35.292,,,Y,abdomen,N,-,-,,,,,Y,N,N,KW,,,,
20121103Opaka22,11/4/12,0:40,Paka,H10667,v13,1094085,37980,54,,6,Makapuu,21,16.154,157,35.265,,,Y,abdomen,N,-,-,,,,,Y,N,N,KW,,,,
20121103Opaka23,11/4/12,0:40,Paka,H10668,v13,1094086,37981,65,,6,Makapuu,21,16.154,157,35.265,,,Y,abdomen,N,-,-,,,,,Y,N,N,KW,,,,
20121103Opaka24,11/4/12,0:46,Paka,H10669,v13,1094087,37982,56,,6,Makapuu,21,16.154,157,35.265,,,Y,abdomen,N,-,-,,,,,Y,N,N,KW,,,,
20121103Opaka25,11/4/12,2:15,Paka,none,v13,1094088,37983,33,,6,Makapuu,21,16.796,157,34.536,,,Y,abdomen,N,-,-,,,,,Y,N,N,KW,,,,
20121103Opaka26,11/4/12,2:36,Paka,H10670,v13,1094089,37984,44,,6,Makapuu,21,16.787,157,34.464,,,Y,abdomen,N,-,-,,,,,Y,N,N,KW,,,,
20120930Sandbar1,9/30/12,16:21,Sandbar Shark,none,v13,1071789,57445,137,,3.5,,21,20.321,157,38.194,N,N,n/a,abdomen,,,,,,,,,,,,,,Alive,"Lots at MakinBRFA, one at MakS, one at MakN"
20121008Kale1,10/8/12,17:30,Kalekale,none,v13,1071790,57446,37,,4,Makapuu,21,13.627,157,43.283,N,N,Y,abdomen,Y,-,-,none,Yes,P1030952 to P1030956,N,N,N,N,KW,Fell off the dropshot near surface,,,
20120930Ehu5.1,9/30/12,15:57,Ehu,none,v13,1071788,57447,39,,3.5,,21,20.526,157,37.937,,,,abdomen,,,,,,,,,,,,,,,
